path,imported_by_paper_mainline,runtime_executed,keep,replacement,action
cpp/lafgs_preemptive_pose.h,no,unknown,no,none; excluded by frozen method,delete
datasets/colmap_from_nvm.py,no,unknown,review,root-level release equivalent,review
datasets/preprocess.py,no,unknown,review,root-level release equivalent,review
docs/LAFGS_PAPER_MAINLINE.md,no,unknown,no,rewritten release documentation,delete
docs/LAFGS_SLPS_NO_GO.md,no,unknown,no,rewritten release documentation,delete
docs/LAFGS_V2.md,no,unknown,no,rewritten release documentation,delete
docs/la_stdloc_mainline.md,no,unknown,no,rewritten release documentation,delete
docs/lafgs_v2_track_geometry_teacher_20260726.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-06-23-la-stdloc-v02-feature-distillation.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-06-26-artifact-aware-teacher-selection.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-06-26-la-qualitative-diagnostics.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-06-26-render-artifact-continuous-weight.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-06-26-render-artifact-local-and-pose-forward.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-06-30-la-mainline-reset.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-07-01-pnp-aware-landmark-utility.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-07-03-lafgs-mainline.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-07-06-lafgs-geometry-feedback-v2.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-07-08-lafgs-feedback-path-fixes.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/plans/2026-07-08-sfm-from-zero-staged-lafgs.md,no,unknown,no,rewritten release documentation,delete
docs/superpowers/specs/2026-07-03-lafgs-mainline-design.md,no,unknown,no,rewritten release documentation,delete
encoders/feature_extractor.py,yes,unknown,yes,root-level core module,migrate
encoders/r2d2_encoder/export_image_embeddings.py,yes,unknown,yes,root-level core module,migrate
encoders/sp_encoder/export_image_embeddings.py,yes,unknown,yes,root-level core module,migrate
encoders/sp_encoder/weights/superpoint_v1.pth,no,unknown,review,root-level release equivalent,review
gaussian_renderer/__init__.py,yes,unknown,yes,root-level core module,migrate
gaussian_renderer/network_gui.py,no,unknown,review,root-level release equivalent,review
la_artifacts/__init__.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/detector.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/nerfbaselines_visuals.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/no_reference_valid_mask.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/pseudo_query.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/pseudo_query_training.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/quality_gate.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/repair.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/rgb_teacher.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/rgb_teacher_health.py,no,unknown,no,external dependency or removed research path,delete
la_artifacts/valid_mask.py,no,unknown,no,external dependency or removed research path,delete
la_diagnostics/__init__.py,no,unknown,no,external dependency or removed research path,delete
la_diagnostics/qualitative.py,no,unknown,no,external dependency or removed research path,delete
la_diagnostics/teacher_stage.py,no,unknown,no,external dependency or removed research path,delete
lafgs/__init__.py,no,unknown,review,root-level release equivalent,review
lafgs/priors/__init__.py,no,unknown,review,root-level release equivalent,review
lafgs/priors/anysplat.py,no,unknown,review,root-level release equivalent,review
lafgs/priors/quality.py,no,unknown,review,root-level release equivalent,review
lafgs/protocol.py,no,unknown,review,root-level release equivalent,review
lafgs/visualization/__init__.py,no,unknown,review,root-level release equivalent,review
lafgs/visualization/paper.py,no,unknown,review,root-level release equivalent,review
localization_training/__init__.py,yes,unknown,yes,root-level core module,migrate
localization_training/absolute_set_risk.py,no,unknown,no,none,delete
localization_training/alternating_map.py,yes,unknown,yes,root-level core module,migrate
localization_training/appearance_calibration.py,no,unknown,no,none,delete
localization_training/appearance_family.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/artifact_contract.py,yes,unknown,yes,root-level core module,migrate
localization_training/basin_distillation.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/basis_utility.py,yes,unknown,yes,root-level core module,migrate
localization_training/candidate_basin_teacher.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/candidate_context_rescue.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/confusion_directed_metric.py,no,unknown,no,none,delete
localization_training/confusion_evidence.py,no,unknown,no,none,delete
localization_training/contextual_descriptor.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/correspondence.py,yes,unknown,yes,root-level core module,migrate
localization_training/counterfactual_positive_teacher.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/counterfactual_repair_routing.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/dense_distill.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/dense_teacher.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/dependency_pose_sampler.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/descriptor_diagnostics.py,no,unknown,no,none,delete
localization_training/detector_free_map.py,yes,unknown,yes,root-level core module,migrate
localization_training/direct_landmark_teacher.py,yes,unknown,yes,root-level core module,migrate
localization_training/episode_sampler.py,yes,unknown,yes,root-level core module,migrate
localization_training/eval_analysis.py,no,unknown,no,none,delete
localization_training/evidence_graph_contract.py,yes,unknown,yes,root-level core module,migrate
localization_training/exact_counterfactual_pose_teacher.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/failure_atlas.py,no,unknown,no,none,delete
localization_training/feature_cache.py,no,unknown,no,none,delete
localization_training/fixed_budget_certifier.py,no,unknown,no,none,delete
localization_training/full_primitive_retrieval.py,yes,unknown,yes,root-level core module,migrate
localization_training/functional_replay.py,yes,unknown,yes,root-level core module,migrate
localization_training/gaussian_prior.py,yes,unknown,yes,root-level core module,migrate
localization_training/gaussian_stats.py,no,unknown,no,none,delete
localization_training/geometry_selector.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/geometry_teacher.py,yes,unknown,yes,root-level core module,migrate
localization_training/group_saturated_consensus.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/hard_candidate_teacher.py,yes,unknown,yes,root-level core module,migrate
localization_training/harmful_outcome_triage.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/joint_assignment_selection.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/joint_assignment_training.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/lafgs_reconstruction.py,yes,unknown,yes,root-level core module,migrate
localization_training/landmark_distill.py,yes,unknown,yes,root-level core module,migrate
localization_training/local_assignment.py,yes,unknown,yes,root-level core module,migrate
localization_training/local_context_adapter.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/losses.py,no,unknown,no,none,delete
localization_training/mainline.py,no,unknown,no,none,delete
localization_training/map_information_bias.py,no,unknown,no,none,delete
localization_training/map_sanitization.py,no,unknown,no,none,delete
localization_training/micro_anchors.py,yes,unknown,yes,root-level core module,migrate
localization_training/native_matchability.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/pair_measurement.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/pair_reliability.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/pair_scorer.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/pose_information.py,yes,unknown,yes,root-level core module,migrate
localization_training/pose_refiner.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/pose_sufficient_selector.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/positive_retrieval.py,no,unknown,no,none,delete
localization_training/preemptive_pose_verification.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/progressive_coreset.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/prototype_optimization.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/query_context.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/rank_budget.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/relational_context.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/render_artifacts.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/repair_activation_calibration.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/scene_normalization.py,no,unknown,no,none,delete
localization_training/seed_graph_context.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/selection_aware_reconstruction.py,no,unknown,no,none,delete
localization_training/shared_metric.py,yes,unknown,yes,root-level core module,migrate
localization_training/slps_residual_signatures.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/slps_selector.py,yes,unknown,no,none; excluded by frozen method,delete
localization_training/sparse_candidate_teacher.py,no,unknown,no,none,delete
localization_training/sparse_frontend.py,yes,unknown,yes,root-level core module,migrate
localization_training/splat_provenance.py,yes,unknown,yes,root-level core module,migrate
localization_training/surface_anchor.py,yes,unknown,yes,root-level core module,migrate
localization_training/synthetic_evidence.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/topology_controller.py,no,unknown,no,none,delete
localization_training/trajectory_stable_candidate.py,no,unknown,no,none; excluded by frozen method,delete
localization_training/ulf_initializer.py,yes,unknown,yes,root-level core module,migrate
localization_training/verified_structure_update.py,no,unknown,no,none,delete
lpipsPyTorch/__init__.py,no,unknown,review,root-level release equivalent,review
lpipsPyTorch/modules/lpips.py,no,unknown,review,root-level release equivalent,review
lpipsPyTorch/modules/networks.py,no,unknown,review,root-level release equivalent,review
lpipsPyTorch/modules/utils.py,no,unknown,review,root-level release equivalent,review
prior_reconstruction/__init__.py,no,unknown,review,root-level release equivalent,review
prior_reconstruction/anysplat.py,no,unknown,review,root-level release equivalent,review
requirements.txt,no,unknown,review,root-level release equivalent,review
scene/__init__.py,yes,unknown,yes,root-level core module,migrate
scene/cameras.py,yes,unknown,yes,root-level core module,migrate
scene/colmap_loader.py,yes,unknown,yes,root-level core module,migrate
scene/dataset_readers.py,yes,unknown,yes,root-level core module,migrate
scene/gaussian_model.py,yes,unknown,yes,root-level core module,migrate
scene/kpdetector.py,yes,unknown,yes,root-level core module,migrate
scripts/align_anysplat_feedforward_prior.py,no,unknown,no,none,delete
scripts/analyze_paired_sparse_results.py,no,unknown,no,none; excluded by frozen method,delete
scripts/analyze_solver_threshold_sweep.py,no,unknown,no,none,delete
scripts/apply_lafgs_slps_selector.py,no,unknown,no,none; excluded by frozen method,delete
scripts/archive_lafgs_legacy_outputs.sh,no,unknown,no,none,delete
scripts/archive_lafgs_phase2_outputs.sh,no,unknown,no,none,delete
scripts/attach_lafgs_full_prior_provenance.py,no,unknown,no,none,delete
scripts/audit_cambridge_matcha_2dgs_protocol.py,no,unknown,no,none,delete
scripts/audit_lafgs_basin_field.py,no,unknown,no,none; excluded by frozen method,delete
scripts/audit_lafgs_confusion_delta.py,no,unknown,no,none,delete
scripts/audit_lafgs_context_oracle.py,no,unknown,no,none; excluded by frozen method,delete
scripts/audit_lafgs_context_switches.py,no,unknown,no,none; excluded by frozen method,delete
scripts/audit_lafgs_harmful_outcomes.py,no,unknown,no,none; excluded by frozen method,delete
scripts/audit_lafgs_separability_oracle.py,no,unknown,no,none,delete
scripts/audit_lafgs_sparse_semantics.py,no,unknown,no,none,delete
scripts/audit_lafgs_tail_coverage.py,no,unknown,no,none,delete
scripts/audit_lafgs_v24_bottlenecks.py,no,unknown,no,none,delete
scripts/audit_lafgs_v25_bases.py,no,unknown,no,none,delete
scripts/audit_matcha_2dgs_valid_support.py,no,unknown,no,none,delete
scripts/audit_pose_forward_render_artifacts.py,no,unknown,no,none; excluded by frozen method,delete
scripts/audit_pseudo_teacher_cache.py,no,unknown,no,none,delete
scripts/audit_render_artifacts.py,no,unknown,no,none; excluded by frozen method,delete
scripts/audit_sparse_candidate_delta.py,no,unknown,no,none,delete
scripts/audit_valid_support_masks.py,no,unknown,no,none,delete
scripts/augment_lafgs_slps_residual_signatures.py,no,unknown,no,none; excluded by frozen method,delete
scripts/augment_lafgs_slps_self_outcomes.py,no,unknown,no,none; excluded by frozen method,delete
scripts/augment_surface_geometry_evidence.py,no,unknown,no,none,delete
scripts/blend_lafgs_map_states.py,no,unknown,no,none,delete
scripts/blend_lafgs_micro_anchor_descriptors.py,no,unknown,no,none,delete
scripts/bootstrap_mvinit_loc_state.py,no,unknown,no,none,delete
scripts/build_dual_prototype_oracle.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_joint_assignment_scene_graph.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_3d_context_state.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_alternating_candidate_pool.py,no,unknown,no,none,delete
scripts/build_lafgs_anchor_function_stats.py,yes,unknown,yes,root-level core module,migrate
scripts/build_lafgs_basin_conflict_anchors.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_basin_family_prototypes.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_basin_teacher.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_basis_aware_map.py,no,unknown,no,none,delete
scripts/build_lafgs_candidate_basin_teacher.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_candidate_context_rescue.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_confusion_graph.py,no,unknown,no,none,delete
scripts/build_lafgs_contrastive_synthetic_evidence.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_counterfactual_positive_teacher.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_evidence_graph_contract.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_exact_counterfactual_teacher.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_exact_loo_teacher.py,no,unknown,no,none,delete
scripts/build_lafgs_failure_atlas.py,no,unknown,no,none,delete
scripts/build_lafgs_fixed_budget_anchor_maps.py,no,unknown,no,none,delete
scripts/build_lafgs_full_prior_micro_anchors.py,no,unknown,no,none,delete
scripts/build_lafgs_function_graph_v3.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_functional_pruning_curve.py,no,unknown,no,none,delete
scripts/build_lafgs_geometry_teacher.py,no,unknown,no,none,delete
scripts/build_lafgs_keypoint_function_graph.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_lgo_baselines.py,no,unknown,no,none,delete
scripts/build_lafgs_lgo_candidate_maps.py,no,unknown,no,none,delete
scripts/build_lafgs_micro_anchor_bank.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_micro_anchor_capacity_sweep.py,no,unknown,no,none,delete
scripts/build_lafgs_micro_anchor_marginal_selection.py,no,unknown,no,none,delete
scripts/build_lafgs_micro_anchor_surface_geometry.py,no,unknown,no,none,delete
scripts/build_lafgs_micro_anchor_v2_additive_audits.py,no,unknown,no,none,delete
scripts/build_lafgs_micro_anchor_v2_sweep.py,no,unknown,no,none,delete
scripts/build_lafgs_observed_context_families.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_pair_reliability_gate.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_pose_critical_teacher.py,no,unknown,no,none,delete
scripts/build_lafgs_poselib.sh,no,unknown,no,none,delete
scripts/build_lafgs_query_rescue_maps.py,no,unknown,no,none,delete
scripts/build_lafgs_raster_provenance_cache.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_redundancy_groups.py,no,unknown,no,none,delete
scripts/build_lafgs_redundancy_groups_v3.py,no,unknown,no,none,delete
scripts/build_lafgs_relational_3d_context.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_relational_context_families.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_sampler_oof.py,no,unknown,no,none,delete
scripts/build_lafgs_slps_residual_signatures.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_slps_set_outcomes.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_strict_context_oracle.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_synthetic_evidence.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_topk_outcomes.py,no,unknown,no,none,delete
scripts/build_lafgs_trajectory_stable_candidate_teacher.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_lafgs_v10_pose_sufficient_maps.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_v5_bidirectional_maps.py,no,unknown,no,none,delete
scripts/build_lafgs_v6_query_group_maps.py,no,unknown,no,none,delete
scripts/build_lafgs_v7_track_centric_maps.py,yes,unknown,yes,root-level core module,migrate
scripts/build_lafgs_v9_complete_positive_teacher.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_v9_minimum_sufficient_maps.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/build_lafgs_verified_structure_proposal.py,no,unknown,no,none,delete
scripts/build_pseudo_query_manifest.py,no,unknown,no,none,delete
scripts/build_pseudo_teacher_cache.py,no,unknown,no,none,delete
scripts/build_query_context_index.py,no,unknown,no,none; excluded by frozen method,delete
scripts/build_track_teacher_query_cache.py,no,unknown,no,none,delete
scripts/calibrate_candidate_scales.py,no,unknown,no,none,delete
scripts/calibrate_lafgs_appearance_modes.py,no,unknown,no,none,delete
scripts/calibrate_lafgs_repair_activations.py,no,unknown,no,none; excluded by frozen method,delete
scripts/check_rgb_teacher_checkpoint.py,no,unknown,no,none,delete
scripts/compare_pseudo_query_backends.py,no,unknown,no,none,delete
scripts/compare_sparse_identity.py,no,unknown,no,none,delete
scripts/compose_lafgs_policy_replay.py,no,unknown,no,none,delete
scripts/compute_scene_normalization.py,no,unknown,no,none,delete
scripts/corrupt_localization_anchors.py,no,unknown,no,none,delete
scripts/dataset_preprocess.sh,no,unknown,no,none,delete
scripts/diagnose_dense_responsibility.py,no,unknown,no,none; excluded by frozen method,delete
scripts/diagnose_lafgs_geometry_drift.py,no,unknown,no,none,delete
scripts/diagnose_sparse_descriptors.py,no,unknown,no,none,delete
scripts/diagnose_sparse_inliers.py,no,unknown,no,none,delete
scripts/diagnose_sparse_stage_delta.py,no,unknown,no,none,delete
scripts/diagnose_stdloc_teacher_stages.py,no,unknown,no,none,delete
scripts/distill_lafgs_pruned_function.py,no,unknown,no,none,delete
scripts/distill_one_of_k_to_field.py,no,unknown,no,none,delete
scripts/eval_candidate_oracles.py,no,unknown,no,none,delete
scripts/eval_discrete_decision_oracles.py,no,unknown,no,none,delete
scripts/eval_family_aware_ransac.py,no,unknown,no,none; excluded by frozen method,delete
scripts/eval_lafgs_dense_refinement.py,no,unknown,no,none; excluded by frozen method,delete
scripts/eval_lafgs_ulfloc_frontend_parity.py,no,unknown,no,none,delete
scripts/eval_seed_graph_context_oracles.py,no,unknown,no,none; excluded by frozen method,delete
scripts/evaluate_7scenes.sh,no,unknown,no,none,delete
scripts/evaluate_cambridge.sh,no,unknown,no,none,delete
scripts/evaluate_joint_assignment_p0.py,no,unknown,no,none; excluded by frozen method,delete
scripts/evaluate_lafgs_fixed_budget_certifier.py,no,unknown,no,none,delete
scripts/evaluate_lafgs_group_consensus_oracle.py,no,unknown,no,none,delete
scripts/evaluate_lafgs_group_saturated_solver.py,no,unknown,no,none; excluded by frozen method,delete
scripts/evaluate_lafgs_map_on_query_cache.py,no,unknown,no,none,delete
scripts/evaluate_lafgs_preemptive_parity.py,no,unknown,no,none; excluded by frozen method,delete
scripts/evaluate_lafgs_slps_oracle_dump.py,no,unknown,no,none; excluded by frozen method,delete
scripts/evaluate_no_reference_valid_masks.py,no,unknown,no,none,delete
scripts/evaluate_offtheshelf_gaussian_prior.py,no,unknown,no,none,delete
scripts/evaluate_shopfacade_mapfim_field_ablation.sh,no,unknown,no,none,delete
scripts/evaluate_sparse_locaware.sh,no,unknown,no,none,delete
scripts/evaluate_support_sparse_pnp.py,no,unknown,no,none,delete
scripts/evaluate_valid_masks.py,no,unknown,no,none,delete
scripts/export_rgb_gaussian_prior.py,no,unknown,no,none,delete
scripts/extend_lafgs_metric_state.py,no,unknown,no,none,delete
scripts/fit_lafgs_slps_outcome_atlas.py,no,unknown,no,none; excluded by frozen method,delete
scripts/gate_pseudo_query_manifest.py,no,unknown,no,none,delete
scripts/interpolate_candidate_state.py,no,unknown,no,none,delete
scripts/interpolate_candidate_teacher_state.py,no,unknown,no,none,delete
scripts/interpolate_lafgs_descriptor_state.py,no,unknown,no,none,delete
scripts/lafgs_artifact_contract.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/lafgs_dense_diagnostics.py,no,unknown,no,none; excluded by frozen method,delete
scripts/make_lafgs_paper_figures.py,no,unknown,no,none,delete
scripts/make_lafgs_sampler_eval_cfg.py,no,unknown,no,none,delete
scripts/make_lafgs_slps_fixed_budget_state.py,no,unknown,no,none; excluded by frozen method,delete
scripts/make_stdloc_eval_cfg.py,yes,entrypoint,yes,root-level core module + thin CLI,migrate
scripts/mask_lafgs_context_to_confusion_families.py,no,unknown,no,none; excluded by frozen method,delete
scripts/materialize_candidate_field.py,no,unknown,no,none,delete
scripts/materialize_candidate_teacher_trust_state.py,no,unknown,no,none,delete
scripts/materialize_lafgs_active_map_stage.py,no,unknown,no,none,delete
scripts/merge_lafgs_anchor_function_stats.py,no,unknown,no,none,delete
scripts/merge_lafgs_basin_teachers.py,no,unknown,no,none; excluded by frozen method,delete
scripts/merge_lafgs_cached_replays.py,no,unknown,no,none,delete
scripts/merge_lafgs_dynamic_outcomes.py,no,unknown,no,none,delete
scripts/merge_lafgs_exact_counterfactual_teacher.py,no,unknown,no,none; excluded by frozen method,delete
scripts/merge_lafgs_keypoint_function_graph.py,no,unknown,no,none,delete
scripts/merge_lafgs_lgo_baselines.py,no,unknown,no,none,delete
scripts/merge_lafgs_nested_band_lgo.py,no,unknown,no,none,delete
scripts/merge_lafgs_raster_provenance_cache.py,no,unknown,no,none,delete
scripts/merge_lafgs_real_synthetic_training_bundle.py,no,unknown,no,none; excluded by frozen method,delete
scripts/merge_lafgs_synthetic_evidence.py,no,unknown,no,none; excluded by frozen method,delete
scripts/merge_stdloc_eval_shards.py,no,unknown,no,none,delete
scripts/plan_lafgs_confusion_views.py,no,unknown,no,none,delete
scripts/plan_lafgs_failure_views.py,no,unknown,no,none,delete
scripts/prepare_anysplat_cambridge_windows.py,no,unknown,no,none,delete
scripts/prepare_cambridge_baseline_artifacts.sh,no,unknown,no,none,delete
scripts/prepare_cambridge_mapping_only_colmap.py,no,unknown,no,none,delete
scripts/prepare_cambridge_official_eval_colmap.py,no,unknown,no,none,delete
scripts/prepare_colmap_flat_image_view.py,no,unknown,no,none,delete
scripts/prepare_lafgs_factor_state.py,no,unknown,no,none,delete
scripts/prepare_nerfbaselines_colmap_dataset.py,no,unknown,no,none,delete
scripts/prepare_rgb_teacher_manifest.py,no,unknown,no,none,delete
scripts/rebind_geometry_teacher_to_state.py,no,unknown,no,none,delete
scripts/redistill_lafgs_bank.py,no,unknown,no,none,delete
scripts/refit_lafgs_pruned_replacements.py,no,unknown,no,none,delete
scripts/remap_topology_landmarks.py,no,unknown,no,none,delete
scripts/render_matcha_records.py,no,unknown,no,none,delete
scripts/render_pseudo_query_manifest.py,no,unknown,no,none,delete
scripts/repair_lafgs_localization_anchors.py,no,unknown,no,none; excluded by frozen method,delete
